,title,content
9999995,"엔카닷컴, '네이버 마이카'와 손잡고 시세 데이터 제공",엔카닷컴이 네이버의 차량관리 통합서비스 '네이버 MY CAR'와 제휴하고 내 차 팔기 중고차 시세 정보를 제공한다.
9999995,"“LX 전 감사, 직원 성과급 수억원 반납받아 이상직 의원 후원”",한국국토정보공사 의원의 지역구에 집중적으로 기부한 사실이 드러났는데도 아무런 처벌을 받지 않았다는 주장이 제기됐다.
9999995,의약품·의료기기 부작용 증가세...3년간 86만건,국회 보건복지위원회 더불어민주단 인재근 의원이 식품의약품안전처 자료를 분석한 결과 최근 3년간 의약품 및 의료기기 이상사례 보고건수는 85만9117건에 이르렀다.
9999995,"NYT ""삼성을 글로벌 거인으로 키운 큰 사상가""",AP통신과 블룸버그통신·로이터통신·AFP통신·교도통신 등은 이 회장의 별세 소식을 속보로 전했다.
9999995,"KT, 중소기업 교육훈련 9만명 돌파 ",KT가 고용노동부와 한국산업인력공단이 주관하는 ‘국가인적자원개발컨소시엄’ 교육사업에서 수료생 누적 9만명을 돌파했다고 4일 밝혔다.
9999995,"대전 분양시장, 잇단 규제 속 완판 행진…재건축은 ‘차질’",잇단 부동산 규제 속에  대전지역 아파트 분양이  완판 행진을 이어가고 있습니다.
9999995,"롯데건설, 대구·서울서 재개발·리모델링 잇단 수주","롯데건설은 올해 울산 중구 B-05구역 재개발 리모델링까지 수주하며 총 2조 4,415억 원의 수주액을 돌파했다."
9999995,34만 명 응시…역대 최대 ‘공인중개사 시험’ 몰린 이유,"부동산 시장, 아무리 예측이 어려워도 지금처럼 어려운 적이 있었을까."
9999995,장애인 의무고용 “단 1%도 관심없는 과기부 기관들”,"한국생산기술연구원과 한국과학기술연구원, 한국원자력의학원, 한국항공우주연구원 등 과학기술정보통신부 소관 기관들이 지난해 장애인 의무고용을 제대로 지키지 않아 76억 원에 달하는 고용부담금을 납부한 것으로 드러났다."
9999995,최태원 '파이낸셜 스토리' 新경영 화두 제시,"최 회장은 ""각 관계사가 만든 파이낸셜 스토리에 시장의 신뢰와 사회의 공감이 더해질 때에만 기대 수준을 뛰어넘는 기업가치를 만들어 낼 수 있다""고 밝혔다."
9999995,백화점 속 미술관 ‘판교 아트 뮤지엄’ ,경기 성남시 현대백화점 판교점을 찾은 방문객들이 11일 건물 1층 ‘열린 광장’에서 백화점 전체를 예술작품으로 꾸민 ‘판교 아트 뮤지엄’ 행사에 전시된 작품들을 감상하고 있다.
